id,location_id,status_id,route_id,handled_by_device_id,handled_by_car_id,created_at,updated_at
146958,50445,3,58,12,10,2026-03-02 04:04:09.950220 +00:00,2026-03-02 04:04:09.950226 +00:00
146959,50448,3,58,12,10,2026-03-02 04:04:09.950227 +00:00,2026-03-02 04:04:09.950228 +00:00
146960,50449,3,58,12,10,2026-03-02 04:04:09.950228 +00:00,2026-03-02 04:04:09.950228 +00:00
146961,50452,3,58,12,10,2026-03-02 04:04:09.950229 +00:00,2026-03-02 04:04:09.950229 +00:00
146963,50454,3,58,12,10,2026-03-02 04:04:09.950230 +00:00,2026-03-02 04:04:09.950230 +00:00
146964,50455,3,58,12,10,2026-03-02 04:04:09.950231 +00:00,2026-03-02 04:04:09.950231 +00:00
146962,50453,5,58,12,10,2026-03-02 04:04:09.950229 +00:00,2026-03-02 04:04:47.843791 +00:00
146965,50450,3,58,12,10,2026-03-02 04:05:35.164521 +00:00,2026-03-02 04:05:35.164527 +00:00
146966,50451,3,58,12,10,2026-03-02 04:05:35.164528 +00:00,2026-03-02 04:05:35.164528 +00:00
146967,50457,3,58,12,10,2026-03-02 04:05:35.164529 +00:00,2026-03-02 04:05:35.164529 +00:00
146968,50458,3,58,12,10,2026-03-02 04:06:50.250020 +00:00,2026-03-02 04:06:50.250026 +00:00
146969,50226,3,58,12,10,2026-03-02 04:07:45.225936 +00:00,2026-03-02 04:07:45.225943 +00:00
146970,50228,3,58,12,10,2026-03-02 04:07:45.225944 +00:00,2026-03-02 04:07:45.225945 +00:00
146971,50459,3,58,12,10,2026-03-02 04:07:45.225946 +00:00,2026-03-02 04:07:45.225946 +00:00
146972,50460,3,58,12,10,2026-03-02 04:07:45.225947 +00:00,2026-03-02 04:07:45.225947 +00:00
146973,50227,3,58,12,10,2026-03-02 04:08:54.988497 +00:00,2026-03-02 04:08:54.988503 +00:00
146974,50229,3,58,12,10,2026-03-02 04:08:54.988505 +00:00,2026-03-02 04:08:54.988505 +00:00
146975,50461,3,58,12,10,2026-03-02 04:08:54.988506 +00:00,2026-03-02 04:08:54.988506 +00:00
146976,50462,3,58,12,10,2026-03-02 04:08:54.988507 +00:00,2026-03-02 04:08:54.988507 +00:00
146977,48486,3,58,12,10,2026-03-02 04:09:55.241012 +00:00,2026-03-02 04:09:55.241018 +00:00
